service,start_time,end_time,duration_sec
auth-service,2025-01-05 10:19:32,2025-01-05 10:19:49,17.0
auth-service,2025-01-05 10:20:16,2025-01-05 10:20:19,3.0
auth-service,2025-01-05 10:20:07,2025-01-05 10:20:48,41.0
auth-service,2025-01-05 10:20:06,2025-01-05 10:20:58,52.0
auth-service,2025-01-05 10:21:05,2025-01-05 10:21:08,3.0
auth-service,2025-01-05 10:21:20,2025-01-05 10:21:31,11.0
auth-service,2025-01-05 10:19:14,2025-01-05 10:21:34,140.0
auth-service,2025-01-05 10:21:46,2025-01-05 10:21:54,8.0
auth-service,2025-01-05 10:18:55,2025-01-05 10:22:35,220.0
auth-service,2025-01-05 10:23:00,2025-01-05 10:23:08,8.0
auth-service,2025-01-05 10:23:16,2025-01-05 10:23:24,8.0
auth-service,2025-01-05 10:23:42,2025-01-05 10:24:07,25.0
auth-service,2025-01-05 10:22:46,2025-01-05 10:24:40,114.0
auth-service,2025-01-05 10:22:40,2025-01-05 10:24:45,125.0
auth-service,2025-01-05 10:16:18,2025-01-05 10:25:00,522.0
auth-service,2025-01-05 10:25:46,2025-01-05 10:25:50,4.0
auth-service,2025-01-05 10:26:08,2025-01-05 10:26:23,15.0
auth-service,2025-01-05 10:26:04,2025-01-05 10:26:28,24.0
auth-service,2025-01-05 10:26:38,2025-01-05 10:27:13,35.0
auth-service,2025-01-05 10:25:36,2025-01-05 10:27:27,111.0
auth-service,2025-01-05 10:15:50,2025-01-05 10:27:51,721.0
auth-service,2025-01-05 10:07:37,2025-01-05 10:27:57,1220.0
auth-service,2025-01-05 10:28:04,2025-01-05 10:28:06,2.0
auth-service,2025-01-05 10:28:07,2025-01-05 10:28:10,3.0
auth-service,2025-01-05 10:06:44,2025-01-05 10:28:16,1292.0
auth-service,2025-01-05 10:28:29,2025-01-05 10:28:45,16.0
auth-service,2025-01-05 10:29:03,2025-01-05 10:29:08,5.0
auth-service,2025-01-05 10:28:56,2025-01-05 10:29:20,24.0
auth-service,2025-01-05 10:28:24,2025-01-05 10:29:24,60.0
auth-service,2025-01-05 10:29:56,2025-01-05 10:30:08,12.0
auth-service,2025-01-05 10:30:19,2025-01-05 10:30:20,1.0
auth-service,2025-01-05 10:30:33,2025-01-05 10:30:45,12.0
auth-service,2025-01-05 10:30:51,2025-01-05 10:31:09,18.0
auth-service,2025-01-05 10:32:35,2025-01-05 10:32:55,20.0
auth-service,2025-01-05 10:33:01,2025-01-05 10:33:15,14.0
auth-service,2025-01-05 10:34:04,2025-01-05 10:34:25,21.0
auth-service,2025-01-05 10:33:45,2025-01-05 10:34:33,48.0
auth-service,2025-01-05 10:32:10,2025-01-05 10:34:40,150.0
auth-service,2025-01-05 10:31:58,2025-01-05 10:34:50,172.0
auth-service,2025-01-05 10:31:40,2025-01-05 10:34:59,199.0
auth-service,2025-01-05 10:31:37,2025-01-05 10:35:05,208.0
auth-service,2025-01-05 10:31:27,2025-01-05 10:35:10,223.0
auth-service,2025-01-05 10:37:27,2025-01-05 10:37:41,14.0
auth-service,2025-01-05 10:37:48,2025-01-05 10:37:53,5.0
auth-service,2025-01-05 10:38:11,2025-01-05 10:38:13,2.0
auth-service,2025-01-05 10:38:24,2025-01-05 10:38:25,1.0
auth-service,2025-01-05 10:38:44,2025-01-05 10:38:45,1.0
auth-service,2025-01-05 10:38:52,2025-01-05 10:38:57,5.0
auth-service,2025-01-05 10:39:05,2025-01-05 10:39:19,14.0
auth-service,2025-01-05 10:39:26,2025-01-05 10:39:30,4.0
auth-service,2025-01-05 10:40:04,2025-01-05 10:40:17,13.0
auth-service,2025-01-05 10:39:58,2025-01-05 10:40:31,33.0
auth-service,2025-01-05 10:39:51,2025-01-05 10:40:33,42.0
auth-service,2025-01-05 10:39:49,2025-01-05 10:40:37,48.0
auth-service,2025-01-05 10:41:04,2025-01-05 10:41:05,1.0
auth-service,2025-01-05 10:41:12,2025-01-05 10:41:28,16.0
auth-service,2025-01-05 10:41:45,2025-01-05 10:41:49,4.0
auth-service,2025-01-05 10:42:41,2025-01-05 10:42:45,4.0
auth-service,2025-01-05 10:42:55,2025-01-05 10:43:00,5.0
auth-service,2025-01-05 10:44:08,2025-01-05 10:44:11,3.0
auth-service,2025-01-05 10:44:24,2025-01-05 10:44:30,6.0
auth-service,2025-01-05 10:44:57,2025-01-05 10:44:59,2.0
auth-service,2025-01-05 10:45:56,2025-01-05 10:46:13,17.0
auth-service,2025-01-05 10:45:32,2025-01-05 10:46:31,59.0
auth-service,2025-01-05 10:45:08,2025-01-05 10:46:37,89.0
auth-service,2025-01-05 10:44:47,2025-01-05 10:46:41,114.0
auth-service,2025-01-05 10:47:03,2025-01-05 10:47:05,2.0
auth-service,2025-01-05 10:47:17,2025-01-05 10:47:30,13.0
auth-service,2025-01-05 10:47:06,2025-01-05 10:47:35,29.0
auth-service,2025-01-05 10:46:53,2025-01-05 10:47:37,44.0
auth-service,2025-01-05 10:47:54,2025-01-05 10:48:01,7.0
auth-service,2025-01-05 10:48:13,2025-01-05 10:48:20,7.0
auth-service,2025-01-05 10:48:25,2025-01-05 10:48:42,17.0
auth-service,2025-01-05 10:44:40,2025-01-05 10:49:01,261.0
auth-service,2025-01-05 10:44:19,2025-01-05 10:49:27,308.0
auth-service,2025-01-05 10:44:14,2025-01-05 10:49:39,325.0
auth-service,2025-01-05 10:43:52,2025-01-05 10:49:47,355.0
auth-service,2025-01-05 10:49:48,2025-01-05 10:50:09,21.0
auth-service,2025-01-05 10:50:12,2025-01-05 10:51:01,49.0
auth-service,2025-01-05 10:51:50,2025-01-05 10:52:04,14.0
auth-service,2025-01-05 10:52:25,2025-01-05 10:52:28,3.0
auth-service,2025-01-05 10:52:33,2025-01-05 10:52:36,3.0
auth-service,2025-01-05 10:51:28,2025-01-05 10:52:50,82.0
auth-service,2025-01-05 10:43:42,2025-01-05 10:52:55,553.0
auth-service,2025-01-05 10:53:04,2025-01-05 10:53:08,4.0
auth-service,2025-01-05 10:53:00,2025-01-05 10:53:15,15.0
auth-service,2025-01-05 10:53:36,2025-01-05 10:53:41,5.0
auth-service,2025-01-05 10:53:50,2025-01-05 10:54:03,13.0
auth-service,2025-01-05 10:53:31,2025-01-05 10:54:16,45.0
auth-service,2025-01-05 10:53:28,2025-01-05 10:54:35,67.0
auth-service,2025-01-05 10:53:20,2025-01-05 10:54:39,79.0
auth-service,2025-01-05 10:54:50,2025-01-05 10:54:54,4.0
auth-service,2025-01-05 10:43:33,2025-01-05 10:55:23,710.0
auth-service,2025-01-05 10:55:24,2025-01-05 10:55:32,8.0
auth-service,2025-01-05 10:56:07,2025-01-05 10:56:09,2.0
auth-service,2025-01-05 10:55:49,2025-01-05 10:56:21,32.0
auth-service,2025-01-05 10:57:14,2025-01-05 10:57:15,1.0
auth-service,2025-01-05 10:57:20,2025-01-05 10:57:24,4.0
auth-service,,,
auth-service,,,
auth-service,,,
auth-service,,,
auth-service,,,
order-service,2025-01-05 10:01:10,2025-01-05 10:01:12,2.0
order-service,2025-01-05 10:00:51,2025-01-05 10:01:17,26.0
order-service,2025-01-05 10:01:29,2025-01-05 10:01:34,5.0
order-service,2025-01-05 10:01:28,2025-01-05 10:01:42,14.0
order-service,2025-01-05 10:00:37,2025-01-05 10:01:48,71.0
order-service,2025-01-05 10:02:20,2025-01-05 10:02:21,1.0
order-service,2025-01-05 10:02:17,2025-01-05 10:02:34,17.0
order-service,2025-01-05 10:00:13,2025-01-05 10:02:39,146.0
order-service,2025-01-05 10:00:02,2025-01-05 10:03:03,181.0
order-service,2025-01-05 10:04:20,2025-01-05 10:04:28,8.0
order-service,2025-01-05 10:04:15,2025-01-05 10:04:39,24.0
order-service,2025-01-05 10:05:29,2025-01-05 10:05:32,3.0
order-service,2025-01-05 10:05:25,2025-01-05 10:05:41,16.0
order-service,2025-01-05 10:05:52,2025-01-05 10:06:22,30.0
order-service,2025-01-05 10:05:48,2025-01-05 10:06:26,38.0
order-service,2025-01-05 10:06:30,2025-01-05 10:06:37,7.0
order-service,2025-01-05 10:05:43,2025-01-05 10:07:01,78.0
order-service,2025-01-05 10:07:11,2025-01-05 10:07:16,5.0
order-service,2025-01-05 10:05:21,2025-01-05 10:07:20,119.0
order-service,2025-01-05 10:08:20,2025-01-05 10:08:31,11.0
order-service,2025-01-05 10:08:15,2025-01-05 10:08:43,28.0
order-service,2025-01-05 10:09:23,2025-01-05 10:09:42,19.0
order-service,2025-01-05 10:09:54,2025-01-05 10:10:07,13.0
order-service,2025-01-05 10:10:10,2025-01-05 10:10:16,6.0
order-service,2025-01-05 10:10:36,2025-01-05 10:10:38,2.0
order-service,2025-01-05 10:11:18,2025-01-05 10:11:32,14.0
order-service,2025-01-05 10:11:39,2025-01-05 10:11:45,6.0
order-service,2025-01-05 10:11:11,2025-01-05 10:11:56,45.0
order-service,2025-01-05 10:12:18,2025-01-05 10:12:21,3.0
order-service,2025-01-05 10:11:07,2025-01-05 10:12:26,79.0
order-service,2025-01-05 10:10:39,2025-01-05 10:12:32,113.0
order-service,2025-01-05 10:10:29,2025-01-05 10:12:41,132.0
order-service,2025-01-05 10:10:24,2025-01-05 10:12:43,139.0
order-service,2025-01-05 10:13:06,2025-01-05 10:13:11,5.0
order-service,2025-01-05 10:12:48,2025-01-05 10:13:14,26.0
order-service,2025-01-05 10:13:19,2025-01-05 10:13:29,10.0
order-service,2025-01-05 10:13:18,2025-01-05 10:13:41,23.0
order-service,2025-01-05 10:13:56,2025-01-05 10:13:59,3.0
order-service,2025-01-05 10:14:49,2025-01-05 10:15:14,25.0
order-service,2025-01-05 10:14:46,2025-01-05 10:15:19,33.0
order-service,2025-01-05 10:14:36,2025-01-05 10:15:21,45.0
order-service,2025-01-05 10:15:49,2025-01-05 10:15:56,7.0
order-service,2025-01-05 10:15:41,2025-01-05 10:16:05,24.0
order-service,2025-01-05 10:14:23,2025-01-05 10:16:14,111.0
order-service,2025-01-05 10:16:54,2025-01-05 10:17:06,12.0
order-service,2025-01-05 10:17:11,2025-01-05 10:17:20,9.0
order-service,2025-01-05 10:16:43,2025-01-05 10:17:23,40.0
order-service,2025-01-05 10:16:40,2025-01-05 10:17:33,53.0
order-service,2025-01-05 10:17:41,2025-01-05 10:17:49,8.0
order-service,2025-01-05 10:18:14,2025-01-05 10:18:19,5.0
order-service,2025-01-05 10:16:23,2025-01-05 10:18:32,129.0
order-service,2025-01-05 10:14:15,2025-01-05 10:18:41,266.0
order-service,2025-01-05 10:19:27,2025-01-05 10:19:30,3.0
order-service,2025-01-05 10:19:06,2025-01-05 10:19:33,27.0
order-service,2025-01-05 10:19:02,2025-01-05 10:19:41,39.0
order-service,2025-01-05 10:19:52,2025-01-05 10:20:02,10.0
order-service,2025-01-05 10:18:43,2025-01-05 10:20:08,85.0
order-service,2025-01-05 10:14:07,2025-01-05 10:20:12,365.0
order-service,2025-01-05 10:20:47,2025-01-05 10:20:52,5.0
order-service,2025-01-05 10:20:43,2025-01-05 10:21:00,17.0
order-service,2025-01-05 10:20:40,2025-01-05 10:21:02,22.0
order-service,2025-01-05 10:21:39,2025-01-05 10:21:51,12.0
order-service,2025-01-05 10:21:26,2025-01-05 10:22:11,45.0
order-service,2025-01-05 10:22:20,2025-01-05 10:22:55,35.0
order-service,2025-01-05 10:23:18,2025-01-05 10:23:33,15.0
order-service,2025-01-05 10:22:58,2025-01-05 10:23:39,41.0
order-service,2025-01-05 10:23:48,2025-01-05 10:23:52,4.0
order-service,2025-01-05 10:22:15,2025-01-05 10:24:16,121.0
order-service,2025-01-05 10:20:29,2025-01-05 10:24:21,232.0
order-service,2025-01-05 10:20:23,2025-01-05 10:24:32,249.0
order-service,2025-01-05 10:24:36,2025-01-05 10:24:56,20.0
order-service,2025-01-05 10:25:07,2025-01-05 10:25:10,3.0
order-service,2025-01-05 10:25:41,2025-01-05 10:26:03,22.0
order-service,2025-01-05 10:25:13,2025-01-05 10:26:18,65.0
order-service,2025-01-05 10:25:04,2025-01-05 10:26:32,88.0
order-service,2025-01-05 10:26:44,2025-01-05 10:26:47,3.0
order-service,2025-01-05 10:26:50,2025-01-05 10:27:03,13.0
order-service,2025-01-05 10:14:00,2025-01-05 10:27:04,784.0
order-service,2025-01-05 10:27:53,2025-01-05 10:28:01,8.0
order-service,2025-01-05 10:28:11,2025-01-05 10:28:33,22.0
order-service,2025-01-05 10:27:32,2025-01-05 10:28:37,65.0
order-service,2025-01-05 10:28:39,2025-01-05 10:28:52,13.0
order-service,2025-01-05 10:27:28,2025-01-05 10:29:10,102.0
order-service,2025-01-05 10:27:18,2025-01-05 10:29:30,132.0
order-service,2025-01-05 10:27:10,2025-01-05 10:29:41,151.0
order-service,2025-01-05 10:27:05,2025-01-05 10:30:00,175.0
order-service,2025-01-05 10:30:01,2025-01-05 10:30:03,2.0
order-service,2025-01-05 10:13:50,2025-01-05 10:30:41,1011.0
order-service,2025-01-05 10:13:47,2025-01-05 10:30:47,1020.0
order-service,2025-01-05 10:31:13,2025-01-05 10:31:17,4.0
order-service,2025-01-05 10:32:16,2025-01-05 10:32:20,4.0
order-service,2025-01-05 10:32:44,2025-01-05 10:32:46,2.0
order-service,2025-01-05 10:33:25,2025-01-05 10:33:27,2.0
order-service,2025-01-05 10:33:47,2025-01-05 10:33:53,6.0
order-service,2025-01-05 10:33:54,2025-01-05 10:34:01,7.0
order-service,2025-01-05 10:34:18,2025-01-05 10:34:29,11.0
order-service,2025-01-05 10:34:09,2025-01-05 10:34:43,34.0
order-service,2025-01-05 10:34:02,2025-01-05 10:34:44,42.0
order-service,2025-01-05 10:35:13,2025-01-05 10:35:22,9.0
order-service,2025-01-05 10:35:03,2025-01-05 10:35:27,24.0
order-service,2025-01-05 10:36:39,2025-01-05 10:36:48,9.0
order-service,2025-01-05 10:37:31,2025-01-05 10:37:39,8.0
order-service,2025-01-05 10:37:56,2025-01-05 10:37:57,1.0
order-service,2025-01-05 10:38:04,2025-01-05 10:38:09,5.0
order-service,2025-01-05 10:37:42,2025-01-05 10:38:21,39.0
order-service,2025-01-05 10:36:25,2025-01-05 10:38:38,133.0
order-service,2025-01-05 10:38:59,2025-01-05 10:39:01,2.0
order-service,2025-01-05 10:36:21,2025-01-05 10:39:09,168.0
order-service,2025-01-05 10:39:32,2025-01-05 10:39:38,6.0
order-service,2025-01-05 10:39:15,2025-01-05 10:39:42,27.0
order-service,2025-01-05 10:41:21,2025-01-05 10:41:24,3.0
order-service,2025-01-05 10:41:35,2025-01-05 10:41:56,21.0
order-service,2025-01-05 10:40:52,2025-01-05 10:42:14,82.0
order-service,2025-01-05 10:42:53,2025-01-05 10:43:03,10.0
order-service,2025-01-05 10:43:10,2025-01-05 10:43:15,5.0
order-service,2025-01-05 10:43:05,2025-01-05 10:43:47,42.0
order-service,2025-01-05 10:40:51,2025-01-05 10:43:53,182.0
order-service,2025-01-05 10:40:47,2025-01-05 10:43:58,191.0
order-service,2025-01-05 10:40:28,2025-01-05 10:44:27,239.0
order-service,2025-01-05 10:40:09,2025-01-05 10:44:35,266.0
order-service,2025-01-05 10:44:45,2025-01-05 10:45:25,40.0
order-service,2025-01-05 10:45:37,2025-01-05 10:45:40,3.0
order-service,2025-01-05 10:45:34,2025-01-05 10:45:48,14.0
order-service,2025-01-05 10:45:53,2025-01-05 10:45:58,5.0
order-service,2025-01-05 10:44:44,2025-01-05 10:46:00,76.0
order-service,2025-01-05 10:46:46,2025-01-05 10:46:47,1.0
order-service,2025-01-05 10:46:43,2025-01-05 10:46:55,12.0
order-service,2025-01-05 10:47:12,2025-01-05 10:47:42,30.0
order-service,2025-01-05 10:46:20,2025-01-05 10:47:49,89.0
order-service,2025-01-05 10:48:30,2025-01-05 10:48:45,15.0
order-service,2025-01-05 10:48:28,2025-01-05 10:48:46,18.0
order-service,2025-01-05 10:47:59,2025-01-05 10:48:54,55.0
order-service,2025-01-05 10:48:56,2025-01-05 10:48:58,2.0
order-service,2025-01-05 10:49:19,2025-01-05 10:49:24,5.0
order-service,2025-01-05 10:49:13,2025-01-05 10:49:36,23.0
order-service,2025-01-05 10:44:37,2025-01-05 10:49:43,306.0
order-service,2025-01-05 10:49:51,2025-01-05 10:49:55,4.0
order-service,2025-01-05 10:39:55,2025-01-05 10:50:17,622.0
order-service,2025-01-05 10:36:14,2025-01-05 10:50:20,846.0
order-service,2025-01-05 10:36:05,2025-01-05 10:50:27,862.0
order-service,2025-01-05 10:35:43,2025-01-05 10:50:32,889.0
order-service,2025-01-05 10:50:37,2025-01-05 10:50:38,1.0
order-service,2025-01-05 10:50:35,2025-01-05 10:50:45,10.0
order-service,2025-01-05 10:50:54,2025-01-05 10:51:04,10.0
order-service,2025-01-05 10:34:48,2025-01-05 10:51:08,980.0
order-service,2025-01-05 10:51:13,2025-01-05 10:51:17,4.0
order-service,2025-01-05 10:33:40,2025-01-05 10:51:22,1062.0
order-service,2025-01-05 10:51:39,2025-01-05 10:51:59,20.0
order-service,2025-01-05 10:33:32,2025-01-05 10:52:11,1119.0
order-service,2025-01-05 10:53:11,2025-01-05 10:53:14,3.0
order-service,2025-01-05 10:54:17,2025-01-05 10:54:22,5.0
order-service,2025-01-05 10:54:48,2025-01-05 10:54:51,3.0
order-service,2025-01-05 10:54:28,2025-01-05 10:55:08,40.0
order-service,2025-01-05 10:55:18,2025-01-05 10:55:21,3.0
order-service,2025-01-05 10:55:25,2025-01-05 10:55:36,11.0
order-service,2025-01-05 10:55:15,2025-01-05 10:55:43,28.0
order-service,2025-01-05 10:56:08,2025-01-05 10:56:13,5.0
order-service,2025-01-05 10:56:14,2025-01-05 10:56:17,3.0
order-service,2025-01-05 10:57:09,2025-01-05 10:57:13,4.0
order-service,2025-01-05 10:57:07,2025-01-05 10:57:29,22.0
order-service,2025-01-05 10:56:41,2025-01-05 10:57:44,63.0
order-service,,,
order-service,,,
order-service,,,
order-service,,,
payment-service,2025-01-05 10:00:22,2025-01-05 10:00:27,5.0
payment-service,2025-01-05 10:00:14,2025-01-05 10:00:35,21.0
payment-service,2025-01-05 10:01:06,2025-01-05 10:01:19,13.0
payment-service,2025-01-05 10:00:56,2025-01-05 10:01:37,41.0
payment-service,2025-01-05 10:00:41,2025-01-05 10:01:57,76.0
payment-service,2025-01-05 10:02:38,2025-01-05 10:02:40,2.0
payment-service,2025-01-05 10:02:43,2025-01-05 10:02:44,1.0
payment-service,2025-01-05 10:02:25,2025-01-05 10:02:51,26.0
payment-service,2025-01-05 10:03:00,2025-01-05 10:03:15,15.0
payment-service,2025-01-05 10:03:35,2025-01-05 10:03:37,2.0
payment-service,2025-01-05 10:03:21,2025-01-05 10:03:42,21.0
payment-service,2025-01-05 10:04:05,2025-01-05 10:04:21,16.0
payment-service,2025-01-05 10:04:22,2025-01-05 10:04:26,4.0
payment-service,2025-01-05 10:04:46,2025-01-05 10:04:52,6.0
payment-service,2025-01-05 10:04:44,2025-01-05 10:04:57,13.0
payment-service,2025-01-05 10:03:45,2025-01-05 10:05:08,83.0
payment-service,2025-01-05 10:06:33,2025-01-05 10:06:42,9.0
payment-service,2025-01-05 10:07:30,2025-01-05 10:07:35,5.0
payment-service,2025-01-05 10:07:41,2025-01-05 10:07:46,5.0
payment-service,2025-01-05 10:08:10,2025-01-05 10:08:25,15.0
payment-service,2025-01-05 10:08:26,2025-01-05 10:08:30,4.0
payment-service,2025-01-05 10:07:26,2025-01-05 10:08:33,67.0
payment-service,2025-01-05 10:06:56,2025-01-05 10:08:38,102.0
payment-service,2025-01-05 10:06:52,2025-01-05 10:08:53,121.0
payment-service,2025-01-05 10:06:18,2025-01-05 10:08:58,160.0
payment-service,2025-01-05 10:06:13,2025-01-05 10:09:02,169.0
payment-service,2025-01-05 10:09:28,2025-01-05 10:09:30,2.0
payment-service,2025-01-05 10:09:18,2025-01-05 10:09:47,29.0
payment-service,2025-01-05 10:09:52,2025-01-05 10:09:56,4.0
payment-service,2025-01-05 10:09:10,2025-01-05 10:09:57,47.0
payment-service,2025-01-05 10:10:20,2025-01-05 10:10:21,1.0
payment-service,2025-01-05 10:11:19,2025-01-05 10:11:26,7.0
payment-service,2025-01-05 10:10:40,2025-01-05 10:11:31,51.0
payment-service,2025-01-05 10:09:08,2025-01-05 10:11:35,147.0
payment-service,2025-01-05 10:06:12,2025-01-05 10:12:07,355.0
payment-service,2025-01-05 10:05:50,2025-01-05 10:12:10,380.0
payment-service,2025-01-05 10:05:37,2025-01-05 10:12:15,398.0
payment-service,2025-01-05 10:05:18,2025-01-05 10:12:35,437.0
payment-service,2025-01-05 10:12:40,2025-01-05 10:12:58,18.0
payment-service,2025-01-05 10:05:13,2025-01-05 10:13:02,469.0
payment-service,2025-01-05 10:13:05,2025-01-05 10:13:22,17.0
payment-service,2025-01-05 10:02:55,2025-01-05 10:13:24,629.0
payment-service,2025-01-05 10:13:44,2025-01-05 10:14:11,27.0
payment-service,2025-01-05 10:14:29,2025-01-05 10:14:43,14.0
payment-service,2025-01-05 10:14:55,2025-01-05 10:15:06,11.0
payment-service,2025-01-05 10:14:19,2025-01-05 10:15:07,48.0
payment-service,2025-01-05 10:15:29,2025-01-05 10:15:47,18.0
payment-service,2025-01-05 10:15:27,2025-01-05 10:15:55,28.0
payment-service,2025-01-05 10:16:12,2025-01-05 10:16:30,18.0
payment-service,2025-01-05 10:16:58,2025-01-05 10:17:02,4.0
payment-service,2025-01-05 10:16:04,2025-01-05 10:17:03,59.0
payment-service,2025-01-05 10:17:58,2025-01-05 10:18:03,5.0
payment-service,2025-01-05 10:18:09,2025-01-05 10:18:47,38.0
payment-service,2025-01-05 10:17:54,2025-01-05 10:19:00,66.0
payment-service,2025-01-05 10:17:40,2025-01-05 10:19:11,91.0
payment-service,2025-01-05 10:19:28,2025-01-05 10:19:42,14.0
payment-service,2025-01-05 10:19:51,2025-01-05 10:20:10,19.0
payment-service,2025-01-05 10:20:26,2025-01-05 10:20:33,7.0
payment-service,2025-01-05 10:21:15,2025-01-05 10:21:41,26.0
payment-service,2025-01-05 10:22:30,2025-01-05 10:22:41,11.0
payment-service,2025-01-05 10:23:12,2025-01-05 10:23:28,16.0
payment-service,2025-01-05 10:23:47,2025-01-05 10:23:51,4.0
payment-service,2025-01-05 10:23:57,2025-01-05 10:24:02,5.0
payment-service,2025-01-05 10:24:09,2025-01-05 10:24:26,17.0
payment-service,2025-01-05 10:23:38,2025-01-05 10:24:27,49.0
payment-service,2025-01-05 10:24:47,2025-01-05 10:24:51,4.0
payment-service,2025-01-05 10:25:24,2025-01-05 10:25:26,2.0
payment-service,2025-01-05 10:25:27,2025-01-05 10:25:52,25.0
payment-service,2025-01-05 10:26:02,2025-01-05 10:26:07,5.0
payment-service,2025-01-05 10:26:21,2025-01-05 10:26:33,12.0
payment-service,2025-01-05 10:26:39,2025-01-05 10:26:40,1.0
payment-service,2025-01-05 10:26:13,2025-01-05 10:26:52,39.0
payment-service,2025-01-05 10:27:24,2025-01-05 10:27:33,9.0
payment-service,2025-01-05 10:27:49,2025-01-05 10:28:08,19.0
payment-service,2025-01-05 10:27:40,2025-01-05 10:28:19,39.0
payment-service,2025-01-05 10:29:12,2025-01-05 10:29:27,15.0
payment-service,2025-01-05 10:28:58,2025-01-05 10:29:28,30.0
payment-service,2025-01-05 10:29:38,2025-01-05 10:29:45,7.0
payment-service,2025-01-05 10:29:47,2025-01-05 10:30:12,25.0
payment-service,2025-01-05 10:28:43,2025-01-05 10:30:14,91.0
payment-service,2025-01-05 10:27:19,2025-01-05 10:30:15,176.0
payment-service,2025-01-05 10:27:01,2025-01-05 10:30:23,202.0
payment-service,2025-01-05 10:30:38,2025-01-05 10:30:56,18.0
payment-service,2025-01-05 10:30:36,2025-01-05 10:31:03,27.0
payment-service,2025-01-05 10:31:22,2025-01-05 10:31:30,8.0
payment-service,2025-01-05 10:31:31,2025-01-05 10:31:42,11.0
payment-service,2025-01-05 10:31:48,2025-01-05 10:31:51,3.0
payment-service,2025-01-05 10:32:01,2025-01-05 10:32:06,5.0
payment-service,2025-01-05 10:32:15,2025-01-05 10:32:24,9.0
payment-service,2025-01-05 10:31:56,2025-01-05 10:32:30,34.0
payment-service,2025-01-05 10:31:20,2025-01-05 10:32:39,79.0
payment-service,2025-01-05 10:33:42,2025-01-05 10:33:44,2.0
payment-service,2025-01-05 10:34:14,2025-01-05 10:34:21,7.0
payment-service,2025-01-05 10:33:56,2025-01-05 10:34:31,35.0
payment-service,2025-01-05 10:34:54,2025-01-05 10:35:18,24.0
payment-service,2025-01-05 10:34:36,2025-01-05 10:35:36,60.0
payment-service,2025-01-05 10:33:50,2025-01-05 10:35:39,109.0
payment-service,2025-01-05 10:33:24,2025-01-05 10:35:54,150.0
